
Host: node41

Timers On : Tue Jan 17 14:27:43 2023
Timers Off: Tue Jan 17 15:17:25 2023

Wall Time:     2982.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| JK: D                             :      2.550u      0.067s      0.135w     22 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     22 calls
| JK: JK                            :    866.300u     59.917s     65.239w     22 calls
| | DFH: compute_JK()               :    865.767u     59.883s     65.210w     22 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     22 calls
| | | DFH: compute_J                :     69.583u     21.700s      5.254w     22 calls
| | | DFH: compute_K                :    682.483u      3.483s     34.874w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     22 calls
HF: Form F                          :      2.033u      0.050s      0.132w     22 calls
HF: Form D                          :      2.483u      0.083s      0.132w     22 calls
HF: DIIS                            :     41.417u      2.150s      2.610w     20 calls
HF: Form C                          :    528.450u     19.300s     29.275w     20 calls

**************************************************************************************

Host: node41

Timers On : Tue Jan 17 16:06:42 2023
Timers Off: Tue Jan 17 16:14:19 2023

Wall Time:      456.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      2.183u      0.033s      1.340w      2 calls
Libint2ERI::Libint2ERI              :      4.967u      0.117s      1.779w     44 calls
DFH: initialize()                   :   2204.117u     90.567s    117.680w      2 calls
DFH: AO Construction                :     61.950u      3.083s      3.316w      2 calls
DFH: AO-Met. Contraction            :    260.833u      9.167s     13.459w      2 calls
HF: Form core H                     :     15.883u      0.350s      0.889w      2 calls
HF: Form S/X                        :     71.683u      2.733s      3.822w      2 calls
HF: Guess                           :    118.033u      5.000s      6.296w      2 calls
SAD Guess                           :    116.967u      4.967s      6.235w      2 calls
HF: Form G                          :    873.767u     53.050s     64.684w     22 calls
JK: D                               :      3.183u      0.083s      0.172w     22 calls
JK: USO2AO                          :      0.083u      0.000s      0.001w     22 calls
JK: JK                              :    859.900u     52.567s     63.838w     22 calls
DFH: compute_JK()                   :    859.517u     52.567s     63.814w     22 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     22 calls
DFH: compute_J                      :     61.167u      9.883s      4.012w     22 calls
DFH: compute_K                      :    691.517u      8.717s     35.480w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     22 calls
HF: Form F                          :      2.017u      0.100s      0.123w     22 calls
HF: Form D                          :      2.317u      0.067s      0.132w     22 calls
HF: DIIS                            :     41.217u      2.183s      2.545w     20 calls
HF: Form C                          :    451.267u     16.167s     25.168w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      2.183u      0.033s      1.340w      2 calls
| Libint2ERI::Libint2ERI            :      1.400u      0.033s      0.856w      2 calls
DFH: initialize()                   :   2204.117u     90.567s    117.680w      2 calls
| Libint2ERI::Libint2ERI            :      3.567u      0.083s      0.923w     42 calls
| DFH: AO Construction              :     61.950u      3.083s      3.316w      2 calls
| DFH: AO-Met. Contraction          :    260.833u      9.167s     13.459w      2 calls
HF: Form core H                     :     15.883u      0.350s      0.889w      2 calls
HF: Form S/X                        :     71.683u      2.733s      3.822w      2 calls
HF: Guess                           :    118.033u      5.000s      6.296w      2 calls
| SAD Guess                         :    116.967u      4.967s      6.235w      2 calls
HF: Form G                          :    873.767u     53.050s     64.684w     22 calls
| JK: D                             :      3.183u      0.083s      0.172w     22 calls
| JK: USO2AO                        :      0.083u      0.000s      0.001w     22 calls
| JK: JK                            :    859.900u     52.567s     63.838w     22 calls
| | DFH: compute_JK()               :    859.517u     52.567s     63.814w     22 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     22 calls
| | | DFH: compute_J                :     61.167u      9.883s      4.012w     22 calls
| | | DFH: compute_K                :    691.517u      8.717s     35.480w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     22 calls
HF: Form F                          :      2.017u      0.100s      0.123w     22 calls
HF: Form D                          :      2.317u      0.067s      0.132w     22 calls
HF: DIIS                            :     41.217u      2.183s      2.545w     20 calls
HF: Form C                          :    451.267u     16.167s     25.168w     20 calls

**************************************************************************************

Host: chesdens.d3.icgm.fr

Timers On : Tue Jan 17 17:48:21 2023
Timers Off: Tue Jan 17 17:49:06 2023

Wall Time:       44.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: chesdens.d3.icgm.fr

Timers On : Tue Jan 17 17:59:53 2023
Timers Off: Tue Jan 17 18:18:42 2023

Wall Time:     1129.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************
